Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15
Kirby and the Amazing Mirror,"""Crystal and Ice""",Kirby,2004,Nintendo GameBoy Advance:Nintendo,Nintendo,4,major:majorish,--,high reverb,rock,pizz_strings:strings:plucked_strings,electric_bass:bass,crotales:metallic_percussion:percussion,rapid_bass_line,xylophone:percussion,electric_piano:metallic_percussion:piano,synth_lead:synth,drumset:drums,,,,,,,
Kirby’s Adventure,"""Rainbow Resort""",Kirby,1993,Nintendo Entertainment System:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,rock,chiptune,drumset:drums,,,,,,,,,,,,,
Kirby Canvas Curse,"""Frozen Fantasy""",Kirby,2005,Nintendo DS:Nintendo,Nintendo,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,pan_flute:woodwinds,chimes:metallic_percussion:percussion,synth_bass:synth:bass,snare:drums:percussion_brushes,glockenspiel:metallic_percussion:percussion,,,,,,,,,
Kirby's Epic Yarn,"""Snowy Fields""",Kirby,2010,Nintendo Wii:Nintendo,Nintendo,4,major:majorish,--,low reverb,Latin jazz,sleigh_bells:metallic_percussion,strings:strings,harp:plucked_strings:strings,flute:woodwinds,xylophone:percussion,English_horn:woodwinds,piano,tambourine:metallic_percussion:percussion,drumset:drums,chimes:metallic_percussion:percussion,orchestra,glockenspiel:metallic_percussion:percussion,,,
Mōryō Senki MADARA,"""Aurora in the Distance""",Madara,1990,Nintendo Entertainment System:Nintendo,Konami,4,minor:minorish,arpeggiated,high reverb,no_drums,chiptune,lament,,,,,,,,,,,,,
Trials of Mana,"""Another Winter""",Mana,1995,SNES:Nintendo,Square Enix,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,marimba:percussion,flute:woodwinds,pizz_strings:strings:plucked_strings,vibraphone:metallic_percussion:percussion,chimes:metallic_percussion:percussion,dorian:modal:minorish,,,,,,,,,
Secret of Mana,"""A Bell is Tolling""",Mana,1993,SNES:Nintendo,Square Enix,4,phrygian:modal:minorish,arpeggiated,high reverb,no_drums,strings:strings,synth:synth,flute:woodwinds,harp:plucked_strings:strings,,,,,,,,,,,
Secret of Mana,"""A Wish…""",Mana,1993,SNES:Nintendo,Square Enix,3,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,flute:woodwinds,,,,,,,,,,,,,,
Super Mario Odyssey,"""Shiveria: Race Course Entrance""",Mario,2017,Nintendo Switch:Nintendo,Nintendo,12,major:majorish,--,low reverb,jig,sleigh_bells:metallic_percussion,pennywhistle:woodwinds,glockenspiel:metallic_percussion:percussion,bagpipes,snare:drums:percussion,accordion,violin:strings,,,,,,,,
Super Mario 3D Land,"""Snowball Park""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,flute:woodwinds,clarinet:woodwinds,electric_piano:metallic_percussion:piano,horn:brass,strings:strings,marimba:percussion,accordion,oboe:woodwinds,orchestra,,,,,
Super Mario 64,"""Cool, Cool Mountain""",Mario,1996,Nintendo 64:Nintendo,Nintendo,4,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,accordion,horn:brass,mandolin:guitar:plucked_strings,,,,,,,,,,,
Mario Party 3,"""Chilly-Chilly Lake""",Mario,2000,Nintendo 64:Nintendo,Nintendo,3,major:majorish,--,high reverb,jazz waltz,synth_bass:synth:bass,electric_piano:metallic_percussion:piano,clarinet:woodwinds,shaker:auxiliary_percussion,wind_chimes:metallic_percussion:percussion,sleigh_bells:metallic_percussion,violin:strings,drumset:drums,,,,,,,
Paper Mario,"""Cold Reception""",Mario,2000,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,rock,treble_vocal_synth:vocals:synth,glockenspiel:metallic_percussion:percussion,xylophone:percussion,sleigh_bells:metallic_percussion,flute:woodwinds,pizz_strings:strings:plucked_strings,gliss,drumset:drums,marimba:percussion,,,,,,
Super Mario Kart,"""Vanilla Lake""",Mario,1992,SNES:Nintendo,Nintendo,4,major:majorish,--,low reverb,son,strings:strings,glockenspiel:metallic_percussion:percussion,agogo_bells:metallic_percussion:percussion,hand_drums:drums,piano:piano,shaker:auxiliary_percussion,,,,,,,,,
Mario Kart 64,"""Frappe Snowland""",Mario,1996,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,no_drums,strings:strings,calliope:woodwinds,vibraphone:metallic_percussion:percussion,harpsichord:plucked_strings,clarinet:woodwinds,acoustic_bass:bass,tambourine:metallic_percussion:percussion,samba,,,,,,,
Paper Mario,"""Crystal Palace Crawl""",Mario,2000,Nintendo 64:Nintendo,Nintendo,3,aeolian:modal:minorish,arpeggiated,high reverb,,glockenspiel:metallic_percussion:percussion,vibraphone:metallic_percussion:percussion,marimba:percussion,harp:plucked_strings:strings,organ:organ,treble_vocal_synth:vocals:synth,crotales:metallic_percussion:percussion,electric_piano:metallic_percussion:piano,,,,,,,
Captain Toad: Treasure Tracker,"""Star Express""",Mario,2014,Nintendo Wii U:Nintendo,Nintendo,4,minor:minorish,--,low reverb,train,sleigh_bells:metallic_percussion,synth_lead:synth,synth:synth,xylophone:percussion,square_wave:synth,,,,,,,,,,
Mario Kart 8,"""Mount Wario""",Mario,2014,Nintendo Wii U:Nintendo,Nintendo,4,major:majorish,--,low reverb,rock,violin:strings,drumset:drums,trumpet:brass,saxophone:woodwinds,jazz_orchestra,electric_guitar:guitar,,,,,,,,,
Mario Kart 7,"""Rosalina's Ice World""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,,high reverb,,piano:piano,chimes:metallic_percussion:percussion,organ:organ,strings:strings,sweeps,sleigh_bells:metallic_percussion,handclaps:drums,,,,,,,,
Super Mario Galaxy,"""Freezeflame Galaxy (Ice)""",Mario,2007,Nintendo Wii:Nintendo,Nintendo,12,no tonality:no tonality,arpeggiated,high reverb,no_drums,harp:plucked_strings:strings,electric_piano:metallic_percussion:piano,flute:woodwinds,synth_arp:synth,treble_vocal_synth:vocals:synth,,,,,,,,,,
Super Mario Odyssey,"""Shiveria (Town)""",Mario,2017,Nintendo Switch:Nintendo,Nintendo,4,,,,,,,,,,,,,,,,,,,
Mega Man 4,"""Dr. Cossack Stage 1""",Mega Man,1991,Nintendo Entertainment System:Nintendo,Capcom,4,minor:minorish,arpeggiated,high reverb,rock,no_bass,,,,,,,,,,,,,,
Mega Man & Bass,"""Coldman Stage""",Mega Man,1998,SNES:Nintendo,Capcom,4,minor:minorish,--,high reverb,EDM,vibraphone:metallic_percussion:percussion,synth_bass:synth:bass,flute:woodwinds,strings:strings,synth_lead:synth,extended_tertian,lament,,,,,,,,
Mega Man Zero 2,"""Ice Brain""",Mega Man,2003,Nintendo GameBoy Advance:Nintendo,Capcom,4,dorian:modal:minorish,--,high reverb,disco,synth:synth,electric_guitar:guitar,drumset:drums,oboe:woodwinds,piano,lament,synth_arp:synth,,,,,,,,
Mega Man X,"""Chill Penguin Stage""",Mega Man,1993,SNES:Nintendo,Capcom,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,brass:brass,drumset:drums,electric_bass:bass,glockenflute:metallic_percussion:percussion:woodwinds,,,,,,,,,,,
Mega Man X2,"""Crystal Snail Stage""",Mega Man,1994,SNES:Nintendo,Capcom,3,dorian:modal:minorish,--,high reverb,rock,electric_guitar:guitar,electric_bass:bass,vibraphone:metallic_percussion:percussion,strings:strings,drumset:drums,,,,,,,,,,
Mega Man X3,"""Blizzard Buffalo Stage""",Mega Man,1995,multiplatform:multiplatform,Capcom,6,minor:minorish,--,high reverb,train,detuned,synth_pad:synth,brass:brass,electric_organ:organ,,,,,,,,,,,
Mega Man X4,"""Frost Walrus Stage 2""",Mega Man,1997,multiplatform:multiplatform,Capcom,4,aeolian:modal:minorish,--,high reverb,rock,electric_piano:metallic_percussion:piano,acoustic guitar:guitar:plucked_strings,crotales:metallic_percussion:percussion,treble_vocal_synth:vocals:synth,drumset:drums,electric_bass:bass,wind_chimes:metallic_percussion:percussion,sweeps,,,,,,,
Mega Man Zero 3,"""Trail on Powdery Snow""",Mega Man,2004,Nintendo GameBoy Advance:Nintendo,Capcom,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,treble_vocal_synth:vocals:synth,electric_guitar:guitar,drumset:drums,piano,train,synth_lead:synth,,,,,,,,,
Mega Man ZX,"""Wonder Panorama""",Mega Man,2006,Nintendo DS:Nintendo,Capcom,4,major:majorish,arpeggiated,high reverb,EDM,treble_vocal_synth:vocals:synth,drumset:drums,electric_bass:bass,chimes:metallic_percussion:percussion,glockenspiel:metallic_percussion:percussion,,treble_vocals:vocals,whistle_tone,electric_piano:metallic_percussion:piano,,,,,,
Mega Man,"""Iceman Stage""",Mega Man,1987,Nintendo Entertainment System:Nintendo,Capcom,4,mixolydian:modal:majorish,--,high reverb,rock,chiptune,,,,,,,,,,,,,,
Metroid Prime,"""Ice Valley (Phendrana Drifts)""",Metroid,2002,Nintendo GameCube:Nintendo,Nintendo,4,aeolian:modal:minorish,arpeggiated,high reverb,techno,synth:synth,piano,treble_vocal_synth:vocals:synth,sweeps,choral_synth:synth:vocals,harp:plucked_strings:strings,rapid_notes,tambourine:metallic_percussion:percussion,,,,,,,
Monster Hunter Freedom Unite,"""Pokke Village""",Monster Hunter,2008,PlayStation Portable:Sony,Capcom,4,major:majorish,arpeggiated,high reverb,,acoustic_guitar:guitar:plucked_strings,strings:strings,tambourine:metallic_percussion:percussion,shaker:auxiliary_percussion,maracas:auxiliary_percussion,shakuhachi:woodwinds,hand_drums:drums,,,,,,,,
Mother 3,"""White""",Mother,2006,Nintendo GameBoy Advance:Nintendo,Nintendo,12,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,electric_piano:metallic_percussion:piano,synth:synth,electric_bass:bass,,,,,,,,,,,
Mother 2,"""Winters""",Mother,1994,SNES:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,,electric_piano:metallic_percussion:piano,pan_flute:woodwinds,sleigh_bells:metallic_percussion,electric_bass:bass,flute:woodwinds,electric_organ:organ,choral_synth:synth:vocals,no_drums,drumset:drums,,,,,,
Mushihimesama Futari,"""Sea of Frozen Crystals""",Mushihimesama,2006,arcade:other,Cave,4,major:majorish,--,high reverb,EDM,synth_lead:synth,drumset:drums,glockenspiel:metallic_percussion:percussion,detuned,synth_pad:synth,,,,,,,,,,
Knight Arms,"""Arsys Christmas Song""",n/a,1989,computer:computer,"Arsys Software, Inc.",4,major:majorish,--,high reverb,rock,sleigh_bells:metallic_percussion,electric_guitar:guitar,brass:brass,chimes:metallic_percussion:percussion,FM:synth,minor_iv,,,,,,,,,
Odin Sphere,"""Battle on the Snowy Mountain""",n/a,2007,PlayStation 2:Sony,Atlus,12,dorian:modal:minorish,--,high reverb,military,cymbals:metallic_percussion:percussion,snare:drums:percussion,horn:brass,triangle:metallic_percussion:percussion,strings:strings,orchestra,trumpet,,,,,,,,
Napple Tale,"""Snowball""",n/a,2000,Sega Dreamcast:Sega,Chime,2,lydian:modal:majorish,arpeggiated,high reverb,train,strings:strings,glockenspiel:metallic_percussion:percussion,piano,electric_guitar:guitar,handbells:metallic_percussion:percussion,rapid_notes,flute:woodwinds,oboe:woodwinds,sleigh_bells:metallic_percussion,triangle:metallic_percussion:percussion,,,,,
Stardew Valley,"""Marimba of Frozen Bones""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,acoustic_bass:bass,marimba:percussion,synth_bass:synth:bass,80s,shaker:auxiliary_percussion,wind_effect,drumset:drums,square_wave:synth,woodblock:auxiliary_percussion,,,,,,
Stardew Valley,"""Nocturne of Ice""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,no_drums,vibraphone:metallic_percussion:percussion,xylophone:percussion,choral_synth:synth:vocals,strings:strings,,analog_synth:synth,clarinet:woodwinds,,,,,,,,
Stardew Valley,"""The Wind Can Be Still""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,no_drums,treble_vocal_synth:vocals:synth,choral_synth:synth:vocals,analog_synth:synth,aeolian,,,,,,,,,,,
Stardew Valley,"""Ancient""",n/a,2016,multiplatform:multiplatform,Chucklefish,2,major:majorish,arpeggiated,high reverb,no_drums,marimba:percussion,piano,synth_bass:synth:bass,sitar:plucked_strings,drumset:drums,tambourine:metallic_percussion:percussion,rock,,,,,,,,
Stardew Valley,"""Winter Festival""",n/a,2016,multiplatform:multiplatform,Chucklefish,2,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,pizz_strings:strings:plucked_strings,strings:strings,harp:plucked_strings:strings,flute:woodwinds,chimes:metallic_percussion:percussion,horn:brass,Christmas,tuba:brass,,,,,,
Stardew Valley,"""Icicles""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,rock,chiptune,drumset:drums,synth_bass:synth:bass,synth_lead:synth,,,,,,,,,,,
Stardew Valley,"""Cloth""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,--,high reverb,no_drums,piano,analog_synth:synth,flute:woodwinds,,,,,,,,,,,,
Stardew Valley,"""Visitor to the Unknown""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,dorian:modal:minorish,arpeggiated,high reverb,rock,electric_bass:bass,treble_vocal_synth:vocals:synth,gliss,electric_guitar:guitar,pan_flute:woodwinds,drumset:drums,analog_synth:synth,glockenspiel:metallic_percussion:percussion,,,,,,,
Banshee's Last Cry,"""Visions of a Distant Day""",n/a,1994,SNES:Nintendo,Chunsoft,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,celesta:metallic_percussion:percussion,strings:strings,flute:woodwinds,,,,,,,,,,,,
Celeste,"""My Dearest Friends""",n/a,2018,multiplatform:multiplatform,Extremely OK Games,4,major:majorish,arpeggiated,high reverb,no_drums,piano:piano,extended_tertian,sine_wave:synth,lament,,,,,,,,,,,
Gurumin,"""Jun Jun Jungle Gym""",n/a,2004,computer:computer,Falcom,4,aeolian:modal:minorish,--,high reverb,breakbeat,electric_guitar:guitar,flute:woodwinds,gamelan:metallic_percussion:percussion,detuned,drumset:drums,electric_bass:bass,whistle,agogo_bells:metallic_percussion:percussion,electric_organ:organ,,,,,,
Runescape 3,"""Snowdrops""",n/a,2013,computer:computer,Jagex,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,orchestra,strings:strings,horn:brass,cymbals:metallic_percussion:percussion,piano,recorder:woodwinds,oboe:woodwinds,clarinet:woodwinds,,,,,,,
Kantai Collection,"""Winter Fleet""",n/a,2013,computer:computer,Kadokawa Games,12,major:majorish,arpeggiated,high reverb,military,orchestra,oboe:woodwinds,glockenspiel:metallic_percussion:percussion,flute:woodwinds,sleigh_bells:metallic_percussion,harp:plucked_strings:strings,trumpet:brass,wind_chimes:metallic_percussion:percussion,cymbals:metallic_percussion:percussion,Christmas,snare:drums:percussion,pizz_strings:strings:plucked_strings,piccolo:woodwinds,,
