,game_and_track,value
167,"SaGa Frontier 2--""Naturvolk""",lydian:modal:majorish
168,"Bravely Default--""Land of Immortality""",minor:minorish
169,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",aeolian:modal:minorish
170,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",aeolian:modal:minorish
171,"Pokémon X/Y--""Snowbelle City""",minor:minorish
172,"Final Fantasy XIII--""Lake Bresha""",dorian:modal:minorish
173,"Kingdom Hearts II--""The Home of Dragons""",aeolian:modal:minorish
174,"Zwei: The Ilvard Insurrection--""Edge of Stars""",minor:minorish
175,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",minor:minorish
176,"Final Fantasy X--""People of the North Pole""",aeolian:modal:minorish
177,"Final Fantasy X-2--""Mt. Gagazet""",aeolian:modal:minorish
178,"Odin Sphere--""Battle on the Snowy Mountain""",dorian:modal:minorish
179,"Kantai Collection--""Winter Fleet""",major:majorish
180,"Sonic the Hedgehog 3--""Ice Cap Zone""",aeolian:modal:minorish
181,"Donkey Kong Country 2--""In a Snow-Bound Land""",major:majorish
182,"Final Fantasy VII--""Buried in the Snow""",major:majorish
183,"Stardew Valley--""Marimba of Frozen Bones""",aeolian:modal:minorish
184,"Celeste--""My Dearest Friends""",major:majorish
185,"Animal Crossing: New Horizons--""Toy Day""",major:majorish
186,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",major:majorish
187,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",major:majorish
188,"Super Mario 3D Land--""Snowball Park""",major:majorish
189,"Super Mario 64--""Cool, Cool Mountain""",major:majorish
190,"Mother 3--""White""",major:majorish
191,"Donkey Kong Country--""Ice Cave Chant""",mixolydian:modal:majorish
192,"Mario Party 3--""Chilly-Chilly Lake""",major:majorish
193,"Kirby Triple Deluxe--""Silver Snow Story""",major:majorish
194,"Atelier Totori: The Adventurer of Arland--""Hepatica""",major:majorish
195,"Monster Hunter Freedom Unite--""Pokke Village""",major:majorish
196,"Paper Mario--""Cold Reception""",major:majorish
197,"Banjo-Kazooie--""Freezeezy Peak""",major:majorish
198,"Kirby 64: The Crystal Shards--""Shiver Star""",major:majorish
199,"Pokémon Diamond/Pearl--""Route 216""",major:majorish
200,"Super Smash Brothers Melee--""Icicle Mountain""",major:majorish
201,"Knight Arms--""Arsys Christmas Song""",major:majorish
202,"Super Mario Kart--""Vanilla Lake""",major:majorish
203,"Mario Kart 64--""Frappe Snowland""",major:majorish
204,"Kirby Air Ride--""Float Islands""",major:majorish
205,"Kirby Air Ride--""Frozen Hillside""",minor:minorish
206,"Kirby Air Ride--""Rainbow Resort""",major:majorish
207,"Kirby and the Amazing Mirror--""Crystal and Ice""",major:majorish
208,"Kirby’s Adventure--""Rainbow Resort""",major:majorish
209,"Kirby Canvas Curse--""Frozen Fantasy""",major:majorish
210,"Baku Bomberman--""White Ice""",major:majorish
211,"Donkey Kong Country--""Northern Hemispheres""",aeolian:modal:minorish
212,"Donkey Kong Country 3--""Frosty Frolics""",aeolian:modal:minorish
213,"Mother 2--""Winters""",major:majorish
214,"Chrono Trigger--""Singing Mountain""",minor:minorish
215,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",dorian:modal:minorish
216,"Final Fantasy VI--""Terra’s Theme""",aeolian:modal:minorish
217,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",dorian:modal:minorish
218,"Trials of Mana--""Another Winter""",aeolian:modal:minorish
219,"Chocobo’s Dungeon 2--""Snow Field""",major:majorish
220,"Paper Mario--""Crystal Palace Crawl""",aeolian:modal:minorish
221,"Banshee's Last Cry--""Visions of a Distant Day""",aeolian:modal:minorish
222,"Revelations: Persona--""Snow Queen""",minor:minorish
223,"Secret of Mana--""A Bell is Tolling""",phrygian:modal:minorish
224,"Sorcerian--""Cave I""",aeolian:modal:minorish
225,"Hanjuku Hero--""Field (Winter)""",major:majorish
226,"Mōryō Senki MADARA--""Aurora in the Distance""",minor:minorish
227,"Pokémon Diamond/Pearl--""Mt. Coronet""",dorian:modal:minorish
228,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",major:majorish
229,"Soma Bringer--""Village of Snow""",major:majorish
230,"Final Fantasy Tactics--""Antidote""",lydian:modal:majorish
231,"Pokémon Diamond/Pearl--""Route 216 (Night)""",major:majorish
232,"Captain Toad: Treasure Tracker--""Star Express""",minor:minorish
233,"Christmas Nights into Dreams--""Jack Frost's Chime""",major:majorish
234,"F-Zero--""White Land""",major:majorish
235,"Gradius Gaiden--""Snowfield""",major:majorish
236,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",major:majorish
237,"The Legend of Xanadu--""Ice Tower""",minor:minorish
238,"Mega Man 4--""Dr. Cossack Stage 1""",minor:minorish
239,"Mega Man & Bass--""Coldman Stage""",minor:minorish
240,"Mega Man Zero 2--""Ice Brain""",dorian:modal:minorish
241,"Super Street Fighter IV--""Theme of Zangief""",aeolian:modal:minorish
242,"Mega Man X--""Chill Penguin Stage""",aeolian:modal:minorish
243,"Mega Man X2--""Crystal Snail Stage""",dorian:modal:minorish
244,"Mega Man X3--""Blizzard Buffalo Stage""",minor:minorish
245,"Mega Man X4--""Frost Walrus Stage 2""",aeolian:modal:minorish
246,"Mega Man Zero 3--""Trail on Powdery Snow""",aeolian:modal:minorish
247,"Mega Man ZX--""Wonder Panorama""",major:majorish
248,"Castle Crashers--""Winter Bliss""",aeolian:modal:minorish
249,"Persona 3 FES--""The Snow Queen""",aeolian:modal:minorish
250,"Mushihimesama Futari--""Sea of Frozen Crystals""",major:majorish
251,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",major:majorish
252,"Revelations: Persona--""Ice Castle""",minor:minorish
253,"Sonic Unleashed--""Cool Edge (Day)""",major:majorish
254,"Gurumin--""Jun Jun Jungle Gym""",aeolian:modal:minorish
255,"Diddy Kong Racing--""Frosty Village""",major:majorish
256,"Mario Kart 8--""Mount Wario""",major:majorish
257,"Mario Kart 7--""Rosalina's Ice World""",major:majorish
258,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",dorian:modal:minorish
259,"Ace Combat 5: The Unsung War--""Ice Cage""",aeolian:modal:minorish
260,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",major:majorish
261,"Kirby's Epic Yarn--""Snowy Fields""",major:majorish
262,"Harvest Moon 64--""New Year’s Eve""",major:majorish
263,"Harvest Moon 64--""Starry Night Festival""",dorian:modal:minorish
264,"Harvest Moon 64--""Winter Season""",minor:minorish
265,"Tales of Symphonia--""Snow Light""",major:majorish
266,"Stardew Valley--""Nocturne of Ice""",major:majorish
267,"Stardew Valley--""The Wind Can Be Still""",major:majorish
268,"Stardew Valley--""Ancient""",major:majorish
269,"Stardew Valley--""Winter Festival""",major:majorish
270,"Stardew Valley--""Icicles""",major:majorish
271,"Stardew Valley--""Cloth""",major:majorish
272,"Stardew Valley--""Visitor to the Unknown""",dorian:modal:minorish
273,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",no_tonality:no_tonality
274,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",no_tonality:no_tonality
275,"Harvest Moon: A Wonderful Life--""Quiet Winter""",major:majorish
276,"Harvest Moon DS--""Winter""",lydian:modal:majorish
277,"Harvest Moon: Back to Nature--""Winter""",major:majorish
278,"Harvest Moon 3D: A New Beginning--""Winter""",major:majorish
279,"Harvest Moon--""Winter""",minor:minorish
280,"Harvest Moon: Magical Melody--""Winter""",major:majorish
281,"Harvest Moon: Save the Homeland--""Winter (Farm)""",major:majorish
282,"Harvest Moon: Save the Homeland--""Winter (Town)""",major:majorish
283,"Harvest Moon: Tree of Tranquility--""Winter""",major:majorish
284,"Harvest Moon: Animal Parade--""Winter (Day)""",major:majorish
285,"Harvest Moon: Animal Parade--""Winter (Night)""",major:majorish
286,"Harvest Moon: Hero of Leaf Valley--""Winter""",major:majorish
287,"Harvest Moon: Friends of Mineral Town--""Winter""",minor:minorish
288,"Harvest Moon DS: Island of Happiness--""Winter""",major:majorish
289,"Harvest Moon DS: Sunshine Islands--""Winter""",major:majorish
290,"Harvest Moon: The Tale of Two Towns--""Winter""",major:majorish
291,"Harvest Moon: Lost Valley--""Winter (Day)""",major:majorish
292,"Harvest Moon: Lost Valley--""Winter (Night)""",major:majorish
293,"Rune Factory: A Fantasy Harvest Moon--""Winter""",major:majorish
294,"Rune Factory 2--""Winter""",major:majorish
295,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",minor:minorish
296,"Sonic Unleashed--""Cool Edge (Night)""",phrygian:modal:minorish
297,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",no_tonality:no_tonality
298,"Secret of Mana--""A Wish…""",aeolian:modal:minorish
299,"Yooka-Laylee--""Glitterglaze Glacier""",major:majorish
300,"Elder Scrolls II: Daggerfall--""Treading Winter""",aeolian:modal:minorish
301,"Persona 4--""Snowflakes""",major:majorish
302,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",major:majorish
303,"Runescape 3--""Snowdrops""",aeolian:modal:minorish
304,"The Legend of Xanadu--""The Ice Cave""",minor:minorish
305,"Mega Man--""Iceman Stage""",mixolydian:modal:majorish
306,"Persona 4--""Christmas Eve""",major:majorish
307,"Persona 5--""Christmas Eve [out]""",major:majorish
308,"Persona 5--""Christmas Eve [in]""",major:majorish
309,"Final Fantasy XIV--""Starlight Celebration""",major:majorish
310,"Kingdom Hearts II Final Mix--""Christmas Town""",major:majorish
311,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",major:majorish
312,"Overcooked! The Festive Seasoning--""Menu Music""",major:majorish
313,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",major:majorish
314,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",major:majorish
315,"Overcooked! The Festive Seasoning--""Level""",minor:minorish
316,"Overcooked! The Festive Seasoning--""Onion Wildfire""",minor:minorish
317,"Pikmin 3--""Fortress of Festivity!""",mixolydian:modal:majorish
318,"Final Fantasy Tactics--""Under the Stars""",arpeggiated
321,"Unlimited Saga--""Theme for Laura""",arpeggiated
325,"Napple Tale--""Snowball""",arpeggiated
326,"SaGa Frontier 2--""Naturvolk""",arpeggiated
327,"Bravely Default--""Land of Immortality""",arpeggiated
328,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",arpeggiated
329,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",arpeggiated
330,"Pokémon X/Y--""Snowbelle City""",arpeggiated
331,"Final Fantasy XIII--""Lake Bresha""",arpeggiated
332,"Kingdom Hearts II--""The Home of Dragons""",arpeggiated
334,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",arpeggiated
338,"Kantai Collection--""Winter Fleet""",arpeggiated
339,"Sonic the Hedgehog 3--""Ice Cap Zone""",arpeggiated
340,"Donkey Kong Country 2--""In a Snow-Bound Land""",arpeggiated
341,"Final Fantasy VII--""Buried in the Snow""",arpeggiated
342,"Stardew Valley--""Marimba of Frozen Bones""",arpeggiated
343,"Celeste--""My Dearest Friends""",arpeggiated
344,"Animal Crossing: New Horizons--""Toy Day""",arpeggiated
350,"Donkey Kong Country--""Ice Cave Chant""",arpeggiated
352,"Kirby Triple Deluxe--""Silver Snow Story""",arpeggiated
353,"Atelier Totori: The Adventurer of Arland--""Hepatica""",arpeggiated
354,"Monster Hunter Freedom Unite--""Pokke Village""",arpeggiated
355,"Paper Mario--""Cold Reception""",arpeggiated
357,"Kirby 64: The Crystal Shards--""Shiver Star""",arpeggiated
358,"Pokémon Diamond/Pearl--""Route 216""",arpeggiated
362,"Mario Kart 64--""Frappe Snowland""",arpeggiated
364,"Kirby Air Ride--""Frozen Hillside""",arpeggiated
365,"Kirby Air Ride--""Rainbow Resort""",arpeggiated
367,"Kirby’s Adventure--""Rainbow Resort""",arpeggiated
368,"Kirby Canvas Curse--""Frozen Fantasy""",arpeggiated
369,"Baku Bomberman--""White Ice""",arpeggiated
370,"Donkey Kong Country--""Northern Hemispheres""",arpeggiated
371,"Donkey Kong Country 3--""Frosty Frolics""",arpeggiated
372,"Mother 2--""Winters""",arpeggiated
373,"Chrono Trigger--""Singing Mountain""",arpeggiated
374,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",arpeggiated
375,"Final Fantasy VI--""Terra’s Theme""",arpeggiated
376,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",arpeggiated
377,"Trials of Mana--""Another Winter""",arpeggiated
378,"Chocobo’s Dungeon 2--""Snow Field""",arpeggiated
379,"Paper Mario--""Crystal Palace Crawl""",arpeggiated
380,"Banshee's Last Cry--""Visions of a Distant Day""",arpeggiated
381,"Revelations: Persona--""Snow Queen""",arpeggiated
382,"Secret of Mana--""A Bell is Tolling""",arpeggiated
383,"Sorcerian--""Cave I""",arpeggiated
384,"Hanjuku Hero--""Field (Winter)""",arpeggiated
385,"Mōryō Senki MADARA--""Aurora in the Distance""",arpeggiated
387,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",arpeggiated
389,"Final Fantasy Tactics--""Antidote""",arpeggiated
393,"F-Zero--""White Land""",arpeggiated
394,"Gradius Gaiden--""Snowfield""",arpeggiated
395,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",arpeggiated
397,"Mega Man 4--""Dr. Cossack Stage 1""",arpeggiated
401,"Mega Man X--""Chill Penguin Stage""",arpeggiated
405,"Mega Man Zero 3--""Trail on Powdery Snow""",arpeggiated
406,"Mega Man ZX--""Wonder Panorama""",arpeggiated
407,"Castle Crashers--""Winter Bliss""",arpeggiated
408,"Persona 3 FES--""The Snow Queen""",arpeggiated
417,"Ace Combat 5: The Unsung War--""Ice Cage""",arpeggiated
420,"Harvest Moon 64--""New Year’s Eve""",arpeggiated
421,"Harvest Moon 64--""Starry Night Festival""",arpeggiated
422,"Harvest Moon 64--""Winter Season""",arpeggiated
423,"Tales of Symphonia--""Snow Light""",arpeggiated
424,"Stardew Valley--""Nocturne of Ice""",arpeggiated
425,"Stardew Valley--""The Wind Can Be Still""",arpeggiated
426,"Stardew Valley--""Ancient""",arpeggiated
427,"Stardew Valley--""Winter Festival""",arpeggiated
428,"Stardew Valley--""Icicles""",arpeggiated
430,"Stardew Valley--""Visitor to the Unknown""",arpeggiated
432,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",arpeggiated
433,"Harvest Moon: A Wonderful Life--""Quiet Winter""",arpeggiated
439,"Harvest Moon: Save the Homeland--""Winter (Farm)""",arpeggiated
441,"Harvest Moon: Tree of Tranquility--""Winter""",arpeggiated
442,"Harvest Moon: Animal Parade--""Winter (Day)""",arpeggiated
443,"Harvest Moon: Animal Parade--""Winter (Night)""",arpeggiated
444,"Harvest Moon: Hero of Leaf Valley--""Winter""",arpeggiated
446,"Harvest Moon DS: Island of Happiness--""Winter""",arpeggiated
447,"Harvest Moon DS: Sunshine Islands--""Winter""",arpeggiated
449,"Harvest Moon: Lost Valley--""Winter (Day)""",arpeggiated
450,"Harvest Moon: Lost Valley--""Winter (Night)""",arpeggiated
451,"Rune Factory: A Fantasy Harvest Moon--""Winter""",arpeggiated
452,"Rune Factory 2--""Winter""",arpeggiated
453,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",arpeggiated
455,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",arpeggiated
456,"Secret of Mana--""A Wish…""",arpeggiated
457,"Yooka-Laylee--""Glitterglaze Glacier""",arpeggiated
458,"Elder Scrolls II: Daggerfall--""Treading Winter""",arpeggiated
460,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",arpeggiated
461,"Runescape 3--""Snowdrops""",arpeggiated
462,"The Legend of Xanadu--""The Ice Cave""",arpeggiated
464,"Persona 4--""Christmas Eve""",arpeggiated
467,"Final Fantasy XIV--""Starlight Celebration""",arpeggiated
469,"Overcooked! The Festive Seasoning--""Menu Music""",arpeggiated
471,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",arpeggiated
472,"Overcooked! The Festive Seasoning--""Level""",arpeggiated
473,"Overcooked! The Festive Seasoning--""Onion Wildfire""",arpeggiated
474,"Final Fantasy Tactics--""Under the Stars""",high_reverb
475,"Persona 3--""Memories of the City""",high_reverb
476,"Romancing SaGa 3--""Boundaries""",high_reverb
477,"Unlimited Saga--""Theme for Laura""",high_reverb
478,"PoPoLoCRoIS Monogatari--""Northern World""",high_reverb
479,"Tales of Graces--""To a Sea of Dancing Snow""",high_reverb
480,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",high_reverb
481,"Napple Tale--""Snowball""",high_reverb
482,"SaGa Frontier 2--""Naturvolk""",high_reverb
483,"Bravely Default--""Land of Immortality""",high_reverb
484,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",high_reverb
485,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",high_reverb
486,"Pokémon X/Y--""Snowbelle City""",high_reverb
487,"Final Fantasy XIII--""Lake Bresha""",high_reverb
488,"Kingdom Hearts II--""The Home of Dragons""",high_reverb
489,"Zwei: The Ilvard Insurrection--""Edge of Stars""",low_reverb
490,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",high_reverb
491,"Final Fantasy X--""People of the North Pole""",high_reverb
492,"Final Fantasy X-2--""Mt. Gagazet""",high_reverb
493,"Odin Sphere--""Battle on the Snowy Mountain""",high_reverb
494,"Kantai Collection--""Winter Fleet""",high_reverb
495,"Sonic the Hedgehog 3--""Ice Cap Zone""",high_reverb
496,"Donkey Kong Country 2--""In a Snow-Bound Land""",high_reverb
497,"Final Fantasy VII--""Buried in the Snow""",high_reverb
498,"Stardew Valley--""Marimba of Frozen Bones""",high_reverb
499,"Celeste--""My Dearest Friends""",high_reverb
500,"Animal Crossing: New Horizons--""Toy Day""",high_reverb
501,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",high_reverb
502,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",low_reverb
503,"Super Mario 3D Land--""Snowball Park""",high_reverb
504,"Super Mario 64--""Cool, Cool Mountain""",high_reverb
505,"Mother 3--""White""",high_reverb
506,"Donkey Kong Country--""Ice Cave Chant""",high_reverb
507,"Mario Party 3--""Chilly-Chilly Lake""",high_reverb
508,"Kirby Triple Deluxe--""Silver Snow Story""",high_reverb
509,"Atelier Totori: The Adventurer of Arland--""Hepatica""",low_reverb
510,"Monster Hunter Freedom Unite--""Pokke Village""",high_reverb
511,"Paper Mario--""Cold Reception""",high_reverb
512,"Banjo-Kazooie--""Freezeezy Peak""",low_reverb
