Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
Metroid Prime,"""Ice Valley (Phendrana Drifts)""",Metroid,2002,Nintendo GameCube:Nintendo,Nintendo,4,aeolian:minorish,arpeggiated,high reverb,techno,synth:synth,piano,treble_vocals:vocals,sweeps,other_vocals:vocals,harp:plucked_strings,no_drums,tambourine:metallic_percussion,drumset,,,,,,,
Xenoblade Chronicles,"""Snowy Mt. Valac (Night)""",Xenoblade Chronicles,2010,Nintendo Wii:Nintendo,Monolith Soft,4,aeolian:minorish,arpeggiated,high reverb,rock,piano,cymbals:metallic_percussion,no_bass,other_vocals:vocals,chromatic_mediants,light_drums,drumset,,,,,,,,,
Pokémon X/Y,"""Snowbelle City""",Pokémon,2013,Nintendo 3DS:Nintendo,Game Freak,12,minor:minorish,arpeggiated,high reverb,military,lament,glockenspiel:metallic_percussion,strings,piano,trumpet:brass,sleigh_bells:metallic_percussion,flute:woodwinds,snare:drums,cymbals:metallic_percussion,orchestra,castanets:auxiliary_percussion,,,,,
Final Fantasy XIII,"""Lake Bresha""",Final Fantasy,2009,multiplatform:multiplatform,Square Enix,2,dorian:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion,strings,piano,violin,xylophone,orchestra,glockenspiel:metallic_percussion,horn:brass,wind_chimes:metallic_percussion,snare:drums,cymbals:metallic_percussion,,,,,
Kingdom Hearts II,"""The Home of Dragons""",Kingdom Hearts,2005,PlayStation 2:Sony,Square Enix,12,aeolian:minorish,arpeggiated,high reverb,military,tambourine:metallic_percussion,oboe:woodwinds,gong:metallic_percussion,violin,xylophone,harp:plucked_strings,snare:drums,,,,,,,,,
Zwei: The Ilvard Insurrection,"""Edge of Stars""",Zwei,2008,computer:computer,Falcom,3,minor:minorish,--,low reverb,--,oboe:woodwinds,flute:woodwinds,sleigh_bells:metallic_percussion,marimba,strings,accordion,chimes:metallic_percussion,triangle:metallic_percussion,sitar:plucked_strings,shaker:auxiliary_percussion,bass_drum:drums,cymbals:metallic_percussion,hand_drums:drums,tambourine:metallic_percussion,,
The Legend of Heroes: Trails of Cold Steel II,"""Wintry Arrival""",The Legend of Heroes,2014,PlayStation 3:Sony,Falcom,4,minor:minorish,arpeggiated,high reverb,military,oboe:woodwinds,strings,shaker:auxiliary_percussion,piano,treble_vocals:vocals,flute:woodwinds,kalimba:metallic_percussion,tambourine:metallic_percussion,snare:drums,,,,,,,
Final Fantasy X,"""People of the North Pole""",Final Fantasy,2001,PlayStation 2:Sony,Square Enix,4,aeolian:minorish,--,high reverb,--,violin,tom_toms:drums,strings,marimba,piano,no_bass,snare:drums,,,,,,,,,
Final Fantasy X-2,"""Mt. Gagazet""",Final Fantasy,2003,PlayStation 2:Sony,Square Enix,4,aeolian:minorish,arpeggiated,high reverb,--,strings,gong:metallic_percussion,shaker:auxiliary_percussion,accordion,cymbals:metallic_percussion,horn:brass,flute:woodwinds,hand_drums:drums,,,,,,,,
Odin Sphere,"""Battle on the Snowy Mountain""",n/a,2007,PlayStation 2:Sony,Atlus,12,dorian:minorish,--,high reverb,military,cymbals:metallic_percussion,snare:drums,horn:brass,triangle:metallic_percussion,strings,orchestra,trumpet:brass,,,,,,,,,
Kantai Collection,"""Winter Fleet""",n/a,2013,computer:computer,Kadokawa Games,12,major:majorish,arpeggiated,high reverb,military,orchestra,oboe:woodwinds,glockenspiel:metallic_percussion,flute:woodwinds,sleigh_bells:metallic_percussion,harp:plucked_strings,trumpet:brass,wind_chimes:metallic_percussion,cymbals:metallic_percussion,Christmas,snare:drums,pizz_strings:plucked_strings,piccolo:woodwinds,,,
Sonic the Hedgehog 3,"""Ice Cap Zone""",Sonic,1994,Sega Genesis:Sega,Sega,4,aeolian:minorish,arpeggiated,high reverb,rock,synth:synth,flute:woodwinds,80s,synth_bass:bass,drumset,harp:plucked_strings,static,,,,,,,,,
Donkey Kong Country 2,"""In a Snow-Bound Land""",Donkey Kong,1995,SNES:Nintendo,Rare,4,major:majorish,arpeggiated,high reverb,rock,gated_snare:drums,80s,drumset,treble_vocals:vocals,electric_bass:bass,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,strings,tambourine:metallic_percussion,marimba,sweeps,,,,,
Final Fantasy VII,"""Buried in the Snow""",Final Fantasy,1997,PlayStation:Sony,Square Enix,3,major:majorish,arpeggiated,high reverb,no_drums,vibraphone:metallic_percussion,pizz_strings:plucked_strings,acoustic_bass:bass,strings,,,,,,,,,,,,
Stardew Valley,"""Marimba of Frozen Bones""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,aeolian:minorish,arpeggiated,high reverb,rock,acoustic_bass:bass,marimba,synth_bass:bass,80s,shaker:auxiliary_percussion,wind_effect,drumset,square_wave:synth,woodblock:auxiliary_percussion,treble_vocals:vocals,,,,,,
Celeste,"""My Dearest Friends""",n/a,2018,multiplatform:multiplatform,Extremely OK Games,4,major:majorish,arpeggiated,high reverb,no_drums,piano,minor_iv,sine_wave:synth,lament,,,,,,,,,,,,
Animal Crossing: New Horizons,"""Toy Day""",Animal Crossing,2020,Nintendo Switch:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,trumpet:brass,celesta:metallic_percussion,acoustic_guitar:plucked_strings,trombone:brass,electric_piano,accordion,Christmas,vibraphone:metallic_percussion,glockenspiel:metallic_percussion,no_bass,,,,,
Ristar the Shooting Star,"""Ring Rink, Planet Freon""",n/a,1995,Sega Genesis:Sega,Sega,4,major:majorish,--,high reverb,rock,chimes:metallic_percussion,,synth_lead:synth,80s,chiptune,glockenspiel:metallic_percussion,synth_brass:synth,drumset,,,,,,,,
Super Mario Odyssey,"""Shiveria: Race Course Entrance""",Mario,2017,Nintendo Switch:Nintendo,Nintendo,12,major:majorish,--,low reverb,jig,sleigh_bells:metallic_percussion,pennywhistle:woodwinds,glockenspiel:metallic_percussion,bagpipes,snare:drums,accordion,violin,hand_drums:drums,,triangle:metallic_percussion,,,,,,
Super Mario 3D Land,"""Snowball Park""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,flute:woodwinds,clarinet:woodwinds,electric_piano,horn:brass,strings,marimba,accordion,oboe:woodwinds,orchestra,,,,,,
Super Mario 64,"""Cool, Cool Mountain""",Mario,1996,Nintendo 64:Nintendo,Nintendo,4,major:majorish,--,low reverb,no_drums,,accordion,horn:brass,mandolin:plucked_strings,cymbals:metallic_percussion,,,,,,,,,,,
Mother 3,"""White""",Mother,2006,Nintendo GameBoy Advance:Nintendo,Nintendo,12,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,electric_piano,synth:synth,electric_bass:bass,lament,,,,,,,,,,,
Donkey Kong Country,"""Ice Cave Chant""",Donkey Kong,1994,SNES:Nintendo,Rare,4,mixolydian:majorish,arpeggiated,high reverb,no_drums,glockenspiel:metallic_percussion,harp:plucked_strings,strings,xylophone,acoustic_bass:bass,vibraphone:metallic_percussion,,,,,,,,,,
Mario Party 3,"""Chilly-Chilly Lake""",Mario,2000,Nintendo 64:Nintendo,Nintendo,3,major:majorish,--,high reverb,jazz_waltz,synth_bass:bass,electric_piano,clarinet:woodwinds,shaker:auxiliary_percussion,wind_chimes:metallic_percussion,sleigh_bells:metallic_percussion,violin,drumset,glockenflute,,,,,,,
Kirby Triple Deluxe,"""Silver Snow Story""",Kirby,2014,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,EDM,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,piano,vibraphone:metallic_percussion,synth_bass:bass,chimes:metallic_percussion,marimba,offbeat_8ths,treble_vocals:vocals,horn:brass,violin,drumset,no_bass,,,
Atelier Totori: The Adventurer of Arland,"""Hepatica""",Atelier,2010,PlayStation 3:Sony,"Gust Co., Ltd.",4,major:majorish,arpeggiated,low reverb,light_drums,triangle:metallic_percussion,xylophone,glockenspiel:metallic_percussion,piano,sleigh_bells:metallic_percussion,pizz_strings:plucked_strings,harp:plucked_strings,bass_drum:drums,wind_chimes:metallic_percussion,pennywhistle:woodwinds,cymbals:metallic_percussion,triangle:metallic_percussion,woodblock:auxiliary_percussion,,,
Monster Hunter Freedom Unite,"""Pokke Village""",Monster Hunter,2008,PlayStation Portable:Sony,Capcom,4,major:majorish,arpeggiated,high reverb,--,acoustic_guitar:plucked_strings,strings,tambourine:metallic_percussion,shaker:auxiliary_percussion,maracas:auxiliary_percussion,shakuhachi:woodwinds,hand_drums:drums,minor_iv,,,,,,,,
Paper Mario,Cold Reception in Shiver City,Mario,2000,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,rock,treble_vocals:vocals,glockenspiel:metallic_percussion,xylophone,sleigh_bells:metallic_percussion,flute:woodwinds,pizz_strings:plucked_strings,castanets:auxiliary_percussion,drumset,marimba,,,,,,,
Banjo-Kazooie,"""Freezeezy Peak""",Banjo-Kazooie,1998,Nintendo 64:Nintendo,Rare,4,major:majorish,--,low reverb,polka,strings,tambourine:metallic_percussion,wind_effect,timpani:drums,horn:brass,flute:woodwinds,saxophone:woodwinds,bassoon:woodwinds,celesta:metallic_percussion,piccolo:woodwinds,Christmas,light_drums,,,,
Kirby 64: The Crystal Shards,"""Shiver Star""",Kirby,2000,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,rock,80s,synth_bass:bass,glockenspiel:metallic_percussion,clarinet:woodwinds,brass:brass,pan_flute:woodwinds,sleigh_bells:metallic_percussion,strings,chimes:metallic_percussion,,synth:synth,drumset,crotales:metallic_percussion,,,
Pokémon Diamond/Pearl,"""Route 216""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,4,major:majorish,arpeggiated,high reverb,shuffle,saxophone:woodwinds,synth_bass:bass,electric_piano,piano,sleigh_bells:metallic_percussion,chimes:metallic_percussion,strings,synth_lead:synth,electric_organ,drumset,,,,,,
Super Smash Brothers Melee,"""Icicle Mountain""",Super Smash Bros.,2001,Nintendo GameCube:Nintendo,Nintendo,4,major:majorish,--,high reverb,jazz,piano,,electric_piano,strings,synth_bass:bass,drumset,sweeps,sleigh_bells:metallic_percussion,synth_lead:synth,brass:brass,electric_guitar,walking_bass,80s,,,
Knight Arms,"""Arsys Christmas Song""",n/a,1989,computer:computer,"Arsys Software, Inc.",4,major:majorish,--,high reverb,rock,sleigh_bells:metallic_percussion,electric_guitar,brass:brass,chimes:metallic_percussion,FM:synth,minor_iv,drumset,,,,,,,,,
Super Mario Kart,"""Vanilla Lake""",Mario,1992,SNES:Nintendo,Nintendo,4,major:majorish,--,high reverb,son,violin,xylophone,agogo_bells:metallic_percussion,hand_drums:drums,piano,shaker:auxiliary_percussion,,,,,,,,,,
Mario Kart 64,"""Frappe Snowland""",Mario,1996,Nintendo 64:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,no_drums,strings,calliope:woodwinds,vibraphone:metallic_percussion,harpsichord:plucked_strings,clarinet:woodwinds,acoustic_bass:bass,tambourine:metallic_percussion,samba,,,,,,,,
Kirby Air Ride,"""Float Islands""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,4,major:majorish,--,low reverb,rock,,electric_bass:bass,clavinet,xylophone,,electric_organ,strings,pan_flute:woodwinds,drumset,hand_drums:drums,glockenflute,,,,,
Kirby Air Ride,"""Frozen Hillside""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,4,minor:minorish,arpeggiated,high reverb,no_drums,other_vocals:vocals,strings,electric_bass:bass,harpsichord:plucked_strings,sleigh_bells:metallic_percussion,harp:plucked_strings,glockenspiel:metallic_percussion,flute:woodwinds,acoustic_guitar:plucked_strings,cymbals:metallic_percussion,falling_fifths,glockenflute,shaker:auxiliary_percussion,tom_toms:drums,,
Kirby Air Ride,"""Rainbow Resort""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,marimba,synth_bass:bass,synth_lead:synth,drumset,castanets:auxiliary_percussion,electric_organ,,,,,,,,,
Kirby and the Amazing Mirror,"""Crystal and Ice""",Kirby,2004,Nintendo GameBoy Advance:Nintendo,Nintendo,4,major:majorish,--,high reverb,rock,pizz_strings:plucked_strings,electric_bass:bass,crotales:metallic_percussion,offbeat_8ths,xylophone,electric_piano,synth_lead:synth,drumset,light_drums,,,,,,,
Kirby’s Adventure,"""Rainbow Resort""",Kirby,1993,Nintendo Entertainment System:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,rock,chiptune,drumset,,,,,,,,,,,,,,
Kirby Canvas Curse,"""Frozen Fantasy""",Kirby,2005,Nintendo DS:Nintendo,Nintendo,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,pan_flute:woodwinds,crotales:metallic_percussion,synth_bass:bass,snare:drums,glockenspiel:metallic_percussion,xylophone,,,,,,,,,
Baku Bomberman,"""White Ice""",Bomberman,1997,Nintendo 64:Nintendo,Hudson Soft,4,major:majorish,arpeggiated,high reverb,shuffle,electric_organ,drumset,electric_bass:bass,pizz_strings:plucked_strings,pan_flute:woodwinds,harp:plucked_strings,,glockenflute,square_wave:synth,,,,,,,
Donkey Kong Country,"""Northern Hemispheres""",Donkey Kong,1994,SNES:Nintendo,Rare,4,aeolian:minorish,arpeggiated,high reverb,light_drums,strings,harp:plucked_strings,piano,pan_flute:woodwinds,pizz_strings:plucked_strings,bass_drum:drums,field_drum:drums,acoustic_bass:bass,flute:woodwinds,synth:synth,,,,,,
Donkey Kong Country 3,"""Frosty Frolics""",Donkey Kong,1996,SNES:Nintendo,Rare,4,aeolian:minorish,arpeggiated,high reverb,no_drums,crotales:metallic_percussion,hi-hat:metallic_percussion,electric_bass:bass,vibraphone:metallic_percussion,flute:woodwinds,electric_piano,80s,,,,,,,,,
Mother 2,"""Winters""",Mother,1994,SNES:Nintendo,Nintendo,4,major:majorish,arpeggiated,low reverb,,electric_piano,pan_flute:woodwinds,sleigh_bells:metallic_percussion,electric_bass:bass,flute:woodwinds,electric_organ,other_vocals:vocals,no_drums,drumset,,,,,,,
Chrono Trigger,"""Singing Mountain""",Chrono,1995,SNES:Nintendo,Square Enix,4,minor:minorish,arpeggiated,high reverb,no_drums,wind_effect,piano,treble_vocals:vocals,harp:plucked_strings,other_vocals:vocals,,clarinet:woodwinds,,,,,,,,,
The Legend of Zelda: Four Swords,"""Frozen Hyrule""",Zelda,2002,Nintendo GameBoy Advance:Nintendo,Nintendo,4,dorian:minorish,arpeggiated,low reverb,no_drums,harp:plucked_strings,pan_flute:woodwinds,strings,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,acoustic_bass:bass,snare:drums,trumpet:brass,crotales:metallic_percussion,,,,,,,
Final Fantasy VI,"""Terra’s Theme""",Final Fantasy,1994,SNES:Nintendo,Square Enix,4,aeolian:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion,strings,harp:plucked_strings,no_drums,trumpet:brass,pan_flute:woodwinds,horn:brass,oboe:woodwinds,snare:drums,,,,,,,
Fire Emblem: Genealogy of the Holy War,"""Chapter 4 (Dance in the Sky)""",Fire Emblem,1996,SNES:Nintendo,Nintendo,2,dorian:minorish,arpeggiated,low reverb,no_drums,strings,glockenspiel:metallic_percussion,sleigh_bells:metallic_percussion,horn:brass,,,,,,,,,,,,
Trials of Mana,"""Another Winter""",Mana,1995,SNES:Nintendo,Square Enix,4,aeolian:minorish,arpeggiated,high reverb,no_drums,marimba,flute:woodwinds,pizz_strings:plucked_strings,vibraphone:metallic_percussion,chimes:metallic_percussion,dorian:minorish,pan_flute:woodwinds,,,,,,,,,
Chocobo’s Dungeon 2,"""Snow Field""",Final Fantasy,1998,PlayStation:Sony,Square Enix,3,major:majorish,arpeggiated,high reverb,no_drums,strings,vibraphone:metallic_percussion,pizz_strings:plucked_strings,harp:plucked_strings,woodblock:auxiliary_percussion,accordion,glockenspiel:metallic_percussion,tambourine:metallic_percussion,,,,,,,,
Paper Mario,"""Crystal Palace Crawl""",Mario,2000,Nintendo 64:Nintendo,Nintendo,3,aeolian:minorish,arpeggiated,high reverb,no_drums,glockenspiel:metallic_percussion,vibraphone:metallic_percussion,marimba,harp:plucked_strings,organ,treble_vocals:vocals,crotales:metallic_percussion,electric_piano,,,,,,,,
Banshee's Last Cry,"""Visions of a Distant Day""",n/a,1994,SNES:Nintendo,Chunsoft,4,aeolian:minorish,arpeggiated,high reverb,no_drums,celesta:metallic_percussion,strings,flute:woodwinds,xylophone,,,,,,,,,,,,
Revelations: Persona,"""Snow Queen""",Persona,1996,PlayStation:Sony,Atlus,6,minor:minorish,arpeggiated,high reverb,no_drums,strings,electric_piano,chimes:metallic_percussion,harp:plucked_strings,celesta:metallic_percussion,lament,glockenflute,cymbals:metallic_percussion,,,,,,,,
Secret of Mana,"""A Bell is Tolling""",Mana,1993,SNES:Nintendo,Square Enix,4,phrygian:minorish,arpeggiated,high reverb,no_drums,strings,synth:synth,flute:woodwinds,harp:plucked_strings,electric_bass:bass,drumset,,,,,,,,,,
Sorcerian,"""Cave I""",Dragon Slayer,1987,computer:computer,Nihon Falcom,4,aeolian:minorish,arpeggiated,high reverb,rock,piano,strings,pan_flute:woodwinds,xylophone,80s,drumset,gated_snare:drums,electric_guitar,synth_brass:synth,,,,,,,
Hanjuku Hero,"""Field (Winter)""",Hanjuku Hero,1988,Nintendo Entertainment System:Nintendo,Square Enix,12,major:majorish,arpeggiated,low reverb,military,chiptune,snare:drums,,,,,,,,,,,,,,
Mōryō Senki MADARA,"""Aurora in the Distance""",Madara,1990,Nintendo Entertainment System:Nintendo,Konami,4,minor:minorish,arpeggiated,high reverb,no_drums,chiptune,lament,,,,,,,,,,,,,,
Pokémon Diamond/Pearl,"""Mt. Coronet""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,4,dorian:minorish,--,high reverb,rock,piano,electric_piano,strings,drumset,trumpet:brass,shaker:auxiliary_percussion,electric_bass:bass,harp:plucked_strings,timpani:drums,triangle:metallic_percussion,,,,,,
Pokémon Mystery Dungeon: Explorers of Sky,"""Vast Ice Mountain Peak""",Pokémon,2007,Nintendo DS:Nintendo,Chunsoft,4,major:majorish,arpeggiated,high reverb,rock,80s,electric_piano,other_vocals:vocals,flute:woodwinds,violin,chimes:metallic_percussion,,timpani:drums,glockenflute,lament,synth_bass:bass,drumset,,,,
Soma Bringer,"""Village of Snow""",n/a,2008,Nintendo DS:Nintendo,Monolith Soft,4,major:majorish,--,low reverb,--,accordion,xylophone,pizz_strings:plucked_strings,glockenspiel:metallic_percussion,piano,harpsichord:plucked_strings,electric_bass:bass,lament,clarinet:woodwinds,tambourine:metallic_percussion,shaker:auxiliary_percussion,tom_toms:drums,,,,
Final Fantasy Tactics,"""Antidote""",Final Fantasy,1997,PlayStation:Sony,Square Enix,12,lydian:majorish,arpeggiated,high reverb,--,harp:plucked_strings,chimes:metallic_percussion,oboe:woodwinds,strings,pizz_strings:plucked_strings,horn:brass,bass_drum:drums,timpani:drums,tambourine:metallic_percussion,,,,,,,
Pokémon Diamond/Pearl,"""Route 216 (Night)""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,12,major:majorish,--,high reverb,shuffle,synth_bass:bass,piano,electric_piano,electric_guitar,tambourine:metallic_percussion,shaker:auxiliary_percussion,drumset,electric_organ,sleigh_bells:metallic_percussion,chimes:metallic_percussion,synth_brass:synth,xylophone,,,,
Captain Toad: Treasure Tracker,"""Star Express""",Mario,2014,Nintendo Wii U:Nintendo,Nintendo,4,minor:minorish,--,low reverb,train,sleigh_bells:metallic_percussion,synth_lead:synth,synth:synth,xylophone,square_wave:synth,snare:drums,synth_bass:bass,timpani:drums,glockenspiel:metallic_percussion,,,,,,,
Christmas Nights into Dreams,"""Jack Frost's Chime""",Sonic,1996,Sega Saturn:Sega,Sega,4,major:majorish,--,high reverb,rock,pizz_strings:plucked_strings,accordion,drumset,strings,electric_piano,polka,electric_organ,electric_bass:bass,harpsichord:plucked_strings,glockenspiel:metallic_percussion,Christmas,,,,,
F-Zero,"""White Land""",F-Zero,1990,SNES:Nintendo,Nintendo,4,major:majorish,arpeggiated,high reverb,rock,slap_bass:bass,electric_piano,drumset,electric_guitar,80s,tambourine:metallic_percussion,claves:auxiliary_percussion,Steely_Dan,half-time,,,,,,,
Gradius Gaiden,"""Snowfield""",n/a,1997,PlayStation:Sony,Konami,4,major:majorish,arpeggiated,high reverb,rock,drumset,synth_pad:synth,sweeps,electric_guitar,strings,80s,,,,,,,,,,
Pop'n TwinBee: Rainbow Bell Adventures,"""Aurora World""",Twinbee,1994,SNES:Nintendo,Konami,4,major:majorish,arpeggiated,high reverb,rock,flute:woodwinds,marimba,drumset,electric_bass:bass,strings,treble_vocals:vocals,piano,,,,,,,,,
The Legend of Xanadu,"""Ice Tower""",Dragon Slayer,1994,TurboGrafx-16:other,Falcom,4,minor:minorish,--,high reverb,rock,synth:synth,synth_bass:bass,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,drumset,,,,,,,,,,,
Mega Man 4,"""Dr. Cossack Stage 1""",Mega Man,1991,Nintendo Entertainment System:Nintendo,Capcom,4,minor:minorish,arpeggiated,high reverb,rock,no_bass,chiptune,drumset,,,,,,,,,,,,,
Mega Man & Bass,"""Coldman Stage""",Mega Man,1998,SNES:Nintendo,Capcom,4,minor:minorish,--,high reverb,breakbeat,vibraphone:metallic_percussion,synth_bass:bass,flute:woodwinds,strings,,drumset,lament,electric_guitar,,,,,,,,
Mega Man Zero 2,"""Ice Brain""",Mega Man,2003,Nintendo GameBoy Advance:Nintendo,Capcom,4,dorian:minorish,--,high reverb,disco,synth:synth,electric_guitar,drumset,oboe:woodwinds,electric_piano,lament,synth_arp:synth,synth_bass:bass,,,,,,,,
Super Street Fighter IV,"""Theme of Zangief""",Street Fighter,2010,multiplatform:multiplatform,Capcom,4,aeolian:minorish,--,high reverb,funk,horn_section:brass,saxophone:woodwinds,trombone:brass,electric_bass:bass,electric_organ,drumset,,,,,,,,,,
Mega Man X,"""Chill Penguin Stage""",Mega Man,1993,SNES:Nintendo,Capcom,4,aeolian:minorish,arpeggiated,high reverb,rock,synth_brass:synth,drumset,electric_bass:bass,glockenflute,,,,,,,,,,,,
Mega Man X2,"""Crystal Snail Stage""",Mega Man,1994,SNES:Nintendo,Capcom,3,dorian:minorish,--,high reverb,rock,electric_guitar,electric_bass:bass,vibraphone:metallic_percussion,strings,drumset,,,,,,,,,,,
Mega Man X3,"""Blizzard Buffalo Stage""",Mega Man,1995,multiplatform:multiplatform,Capcom,6,minor:minorish,--,high reverb,train,detuned,synth_pad:synth,brass:brass,electric_organ,drumset,,,,,,,,,,,
Mega Man X4,"""Frost Walrus Stage 2""",Mega Man,1997,multiplatform:multiplatform,Capcom,4,aeolian:minorish,--,high reverb,rock,electric_piano,acoustic_guitar:plucked_strings,glockenflute,treble_vocals:vocals,drumset,electric_bass:bass,wind_chimes:metallic_percussion,sweeps,chimes:metallic_percussion,,,,,,,
Mega Man Zero 3,"""Trail on Powdery Snow""",Mega Man,2004,Nintendo GameBoy Advance:Nintendo,Capcom,4,aeolian:minorish,arpeggiated,low reverb,rock,treble_vocals:vocals,electric_guitar,drumset,piano,train,synth_lead:synth,,,,,,,,,,
Mega Man ZX,"""Wonder Panorama""",Mega Man,2006,Nintendo DS:Nintendo,Capcom,4,major:majorish,arpeggiated,high reverb,EDM,treble_vocals:vocals,drumset,electric_bass:bass,chimes:metallic_percussion,glockenspiel:metallic_percussion,synth_arp:synth,strings,whistle_tone,electric_piano,,,,,,,
Castle Crashers,"""Winter Bliss""",n/a,2008,Xbox 360:Microsoft,The Behemoth,4,aeolian:minorish,arpeggiated,high reverb,EDM,synth_pad:synth,,synth_bass:bass,synth_lead:synth,sweeps,strings,drumset,,,,,,,,,
Persona 3 FES,"""The Snow Queen""",Persona,2008,PlayStation 2:Sony,Atlus,4,dorian:minorish,arpeggiated,high reverb,EDM,synth_bass:bass,electric_piano,piano,synth_pad:synth,electric_guitar,synth_arp:synth,drumset,,,,,,,,,
Mushihimesama Futari,"""Sea of Frozen Crystals""",Mushihimesama,2006,arcade:other,Cave,4,major:majorish,--,high reverb,EDM,synth_lead:synth,drumset,glockenspiel:metallic_percussion,detuned,synth_pad:synth,synth_bass:bass,,,,,,,,,,
